id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,jumlah_kasus,jumlah_kasus_meninggal_laki,jumlah_kasus_meninggal_perempuan
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2017,1013,0,0
86,32,JAWA BARAT,3205,KABUPATEN GARUT,2017,406,0,0
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2017,224,0,1
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2017,47,0,0
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2017,728,0,0
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2017,274,3,4
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2017,112,1,1
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2017,184,0,1
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2017,113,0,0
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,2017,104,0,0
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2017,122,0,0
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2017,102,0,0
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,2017,332,0,2
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2017,201,1,2
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2017,175,1,3
100,32,JAWA BARAT,3271,KOTA BOGOR,2017,855,2,4
101,32,JAWA BARAT,3272,KOTA SUKABUMI,2017,352,0,1
102,32,JAWA BARAT,3273,KOTA BANDUNG,2017,1786,3,3
103,32,JAWA BARAT,3274,KOTA CIREBON,2017,53,0,1
104,32,JAWA BARAT,3275,KOTA BEKASI,2017,699,2,0
105,32,JAWA BARAT,3276,KOTA DEPOK,2017,548,0,0
106,32,JAWA BARAT,3277,KOTA CIMAHI,2017,313,1,0
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2017,298,0,0
108,32,JAWA BARAT,3279,KOTA BANJAR,2017,63,0,0
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,2018,741,5,3
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2018,233,1,0
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2018,113,4,1
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2018,1774,7,4
113,32,JAWA BARAT,3205,KABUPATEN GARUT,2018,331,0,0
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2018,196,1,0
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2018,29,0,0
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2018,352,0,1
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,2018,215,5,3
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2018,108,1,2
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2018,408,0,0
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2018,911,13,20
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,2018,143,0,1
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2018,263,0,0
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2018,60,0,0
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2018,181,0,1
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2018,419,2,0
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2018,75,2,0
127,32,JAWA BARAT,3271,KOTA BOGOR,2018,727,3,2
128,32,JAWA BARAT,3272,KOTA SUKABUMI,2018,238,0,2
129,32,JAWA BARAT,3273,KOTA BANDUNG,2018,2826,4,3
130,32,JAWA BARAT,3274,KOTA CIREBON,2018,24,0,1
131,32,JAWA BARAT,3275,KOTA BEKASI,2018,626,2,0
132,32,JAWA BARAT,3276,KOTA DEPOK,2018,891,0,1
133,32,JAWA BARAT,3277,KOTA CIMAHI,2018,288,2,1
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2018,223,2,0
135,32,JAWA BARAT,3279,KOTA BANJAR,2018,97,1,2
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,2019,1210,31,53
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2019,616,1,3
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2019,643,3,3
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2019,2635,3,7
140,32,JAWA BARAT,3205,KABUPATEN GARUT,2019,769,0,0
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2019,210,1,2
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2019,404,1,0
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2019,505,3,1
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,2019,1291,9,8
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2019,457,2,0
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2019,663,0,0
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2019,222,1,0
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,2019,270,3,1
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2019,544,0,0
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2019,199,1,1
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,2019,511,1,4
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2019,1706,1,4
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2019,158,0,0
154,32,JAWA BARAT,3271,KOTA BOGOR,2019,611,2,8
155,32,JAWA BARAT,3272,KOTA SUKABUMI,2019,786,1,1
156,32,JAWA BARAT,3273,KOTA BANDUNG,2019,4424,10,4
157,32,JAWA BARAT,3274,KOTA CIREBON,2019,135,1,1
158,32,JAWA BARAT,3275,KOTA BEKASI,2019,2373,2,2
159,32,JAWA BARAT,3276,KOTA DEPOK,2019,2200,0,0
160,32,JAWA BARAT,3277,KOTA CIMAHI,2019,1020,2,0
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2019,658,0,6
162,32,JAWA BARAT,3279,KOTA BANJAR,2019,62,0,1
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,2020,1296,7,4
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2020,561,2,3
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2020,684,7,2
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2020,2303,15,6
167,32,JAWA BARAT,3205,KABUPATEN GARUT,2020,651,6,1
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2020,179,3,0
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2020,1457,2,4
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2020,362,1,2
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,2020,880,6,9
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2020,1153,1,5
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2020,707,5,2
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2020,214,2,1
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,2020,283,2,2
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2020,534,0,0
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2020,1329,5,8
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,2020,317,2,3
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2020,968,2,1
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2020,196,0,0
181,32,JAWA BARAT,3271,KOTA BOGOR,2020,241,3,3
182,32,JAWA BARAT,3272,KOTA SUKABUMI,2020,651,2,1
183,32,JAWA BARAT,3273,KOTA BANDUNG,2020,4424,10,4
184,32,JAWA BARAT,3274,KOTA CIREBON,2020,171,0,1
185,32,JAWA BARAT,3275,KOTA BEKASI,2020,1646,1,0
186,32,JAWA BARAT,3276,KOTA DEPOK,2020,1276,1,2
187,32,JAWA BARAT,3277,KOTA CIMAHI,2020,433,1,3
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2020,1409,8,12
189,32,JAWA BARAT,3279,KOTA BANJAR,2020,146,2,1
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,2021,2220,10,12
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2021,272,0,1
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2021,430,2,2
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2021,2026,12,12
194,32,JAWA BARAT,3205,KABUPATEN GARUT,2021,1011,8,5
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2021,48,0,0
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2021,470,1,3
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2021,544,1,3
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,2021,819,3,7
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2021,447,3,2
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2021,1264,10,5
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2021,188,1,3
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,2021,287,2,5
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2021,220,0,0
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2021,929,4,5
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,2021,370,3,4
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2021,419,1,1
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2021,79,1,0
208,32,JAWA BARAT,3271,KOTA BOGOR,2021,526,3,4
209,32,JAWA BARAT,3272,KOTA SUKABUMI,2021,449,2,1
210,32,JAWA BARAT,3273,KOTA BANDUNG,2021,3743,3,10
211,32,JAWA BARAT,3274,KOTA CIREBON,2021,166,0,0
212,32,JAWA BARAT,3275,KOTA BEKASI,2021,1844,4,7
213,32,JAWA BARAT,3276,KOTA DEPOK,2021,3155,0,1
214,32,JAWA BARAT,3277,KOTA CIMAHI,2021,590,7,15
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2021,909,10,11
216,32,JAWA BARAT,3279,KOTA BANJAR,2021,29,1,1
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,2022,1953,6,8
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2022,383,3,4
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2022,819,4,4
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2022,4191,25,23
221,32,JAWA BARAT,3205,KABUPATEN GARUT,2022,904,5,5
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2022,319,4,3
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2022,702,3,5
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2022,1474,5,10
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,2022,1815,7,4
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2022,641,3,2
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2022,2186,4,13
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2022,370,3,2
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,2022,995,5,5
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2022,412,0,1
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2022,1320,5,8
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,2022,1009,0,2
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2022,1260,5,9
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2022,502,0,0
235,32,JAWA BARAT,3271,KOTA BOGOR,2022,1531,5,4
236,32,JAWA BARAT,3272,KOTA SUKABUMI,2022,1028,6,7
237,32,JAWA BARAT,3273,KOTA BANDUNG,2022,5205,6,4
238,32,JAWA BARAT,3274,KOTA CIREBON,2022,270,0,4
239,32,JAWA BARAT,3275,KOTA BEKASI,2022,2442,7,7
240,32,JAWA BARAT,3276,KOTA DEPOK,2022,2234,8,6
241,32,JAWA BARAT,3277,KOTA CIMAHI,2022,675,3,11
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2022,1855,12,17
243,32,JAWA BARAT,3279,KOTA BANJAR,2022,113,3,0
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,2023,1881,3,2
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2023,113,0,0
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2023,829,2,3
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2023,1005,12,9
248,32,JAWA BARAT,3205,KABUPATEN GARUT,2023,730,4,2
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2023,88,0,0
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2023,232,0,2
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2023,630,1,5
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,2023,728,2,3
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2023,253,1,1
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2023,1308,0,1
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2023,218,3,1
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,2023,618,2,5
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2023,424,1,3
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2023,991,4,7
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,2023,726,0,1
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2023,1322,4,2
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2023,253,2,0
262,32,JAWA BARAT,3271,KOTA BOGOR,2023,1474,2,7
263,32,JAWA BARAT,3272,KOTA SUKABUMI,2023,415,1,1
264,32,JAWA BARAT,3273,KOTA BANDUNG,2023,1856,4,4
265,32,JAWA BARAT,3274,KOTA CIREBON,2023,227,2,2
266,32,JAWA BARAT,3275,KOTA BEKASI,2023,1220,2,4
267,32,JAWA BARAT,3276,KOTA DEPOK,2023,1031,2,4
268,32,JAWA BARAT,3277,KOTA CIMAHI,2023,350,1,2
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2023,353,3,2
270,32,JAWA BARAT,3279,KOTA BANJAR,2023,53,0,1
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,2024,3404,7,16
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2024,841,2,2
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2024,1932,2,9
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2024,3589,17,21
275,32,JAWA BARAT,3205,KABUPATEN GARUT,2024,3269,2,12
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2024,763,3,5
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2024,1420,4,7
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2024,2165,3,2
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,2024,1833,0,6
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2024,1275,8,3
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2024,2303,2,5
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2024,528,1,1
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,2024,1929,13,12
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2024,1088,6,8
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2024,3279,9,10
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,2024,1902,2,5
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2024,3754,5,13
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2024,890,0,0
289,32,JAWA BARAT,3271,KOTA BOGOR,2024,3117,8,8
290,32,JAWA BARAT,3272,KOTA SUKABUMI,2024,1631,2,4
291,32,JAWA BARAT,3273,KOTA BANDUNG,2024,7680,14,17
292,32,JAWA BARAT,3274,KOTA CIREBON,2024,597,1,1
293,32,JAWA BARAT,3275,KOTA BEKASI,2024,4167,17,9
294,32,JAWA BARAT,3276,KOTA DEPOK,2024,5040,4,9
295,32,JAWA BARAT,3277,KOTA CIMAHI,2024,850,8,4
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2024,1777,1,4
297,32,JAWA BARAT,3279,KOTA BANJAR,2024,400,3,2
